SSIC,SUBSECTOR
50011,Ship Owning & Operating
50021,Ship Owning & Operating
50023,Ship Owning & Operating
52221,Ship Owning & Operating
77310,Ship Owning & Operating
52223,Port Operations
52224,Port Operations
52243,Port Operations
52229,Port Operations
50012,"Harbour Craft, Ship Chandlers, Ship Bunkering"
50013,"Harbour Craft, Ship Chandlers, Ship Bunkering"
50014,"Harbour Craft, Ship Chandlers, Ship Bunkering"
50022,"Harbour Craft, Ship Chandlers, Ship Bunkering"
52225,"Harbour Craft, Ship Chandlers, Ship Bunkering"
46661,"Harbour Craft, Ship Chandlers, Ship Bunkering"
46662,"Harbour Craft, Ship Chandlers, Ship Bunkering"
52222,Ship Agencies
52226,Ship Management
52227,Ship Broking
52251,"Classification Societies, Marine Surveying"
52252,"Classification Societies, Marine Surveying"